1628,610869
1295,064862
653,9147094
2471,177981
5202,203834
1794,626268
1048,148895
1839,21088
1432,486695
3023,783384
1812,556075
1266,505284
655,4149723
1889,426113
797,0325997
2411,40037
3221,689465
3965,818329
2515,535607
544,8325515
2821,202573
3856,684435
749,5665309
403,6232784
2918,855508
576,3760315
748,5332369
2584,303653
3922,026849
1782,386614
122,2940841
4017,559274
938,4217289
4928,153569
2634,692693
4703,584681
1823,45275
317,1789343
3111,710703
2364,556858
2933,89476
327,7485055
2802,424276
2963,403751
593,5577063
1707,705725
164,9035742
2961,514618
3969,93735
1928,535404
867,5316644
1611,391155
2923,544222
1882,555964
4378,032496
3055,697613
2900,182698
646,9112445
684,9060601
1338,238442
2288,987637
3482,036287
3302,874054
1441,432742
2430,45978
2057,382591
2661,340259
4166,936833
2927,4856
3584,276407
2907,761934
2493,122229
2457,039754
3927,608594
4083,752979
2797,52688
349,810925
2354,98551
676,0142598
2292,392132
2426,991703
1979,745228
1460,102789
3053,76667
2866,569398
1648,751406
3717,305678
3643,526698
737,0274316
659,0971984
2659,174962
5023,2209
2490,190578
1955,127297
1881,17358
759,0935482
2206,646129
2982,003412
3004,123038
1196,829354
3099,716893
1449,507687
2720,360627
1884,331404
534,2099285
5444,845435
658,131419
811,2782966
1204,144348
4972,297813
454,0456756
3086,282564
213,6819317
5166,170019
1426,5756
2470,695545
851,5526679
1378,470883
1442,243514
1787,116541
4182,087757
593,7372346
1255,773296
1298,417491
4486,517846
4328,912144
1856,040318
892,9053525
2187,763499
1637,08458
3672,773392
1780,630807
1662,504578
258,8753617
1197,718257
428,8883543
900,0178826
1125,754742
262,0670494
2414,687879
525,0813815
637,3364659
1452,891563
1995,138495
1328,654093
1968,428256
2427,127337
4402,016441
1598,468545
1286,32083
1822,423982
3941,996085
508,8351641
4119,781212
3262,409423
2017,169529
1033,309918
970,8773874
1221,819685
875,8115276
2524,039832
2950,093266
3723,481062
2957,96871
1107,390225
308,7432186
2005,027815
2809,043209
2387,390938
521,2143247
3051,649692
2583,663592
294,8103716
134,0110147
2405,790374
4634,541475
2967,503574
4221,072252
1005,984047
5235,781377
1542,520869
4087,616813
3909,325105
845,0774715
302,096293
1687,212125
3226,838541
3846,038188
3635,886784
2724,701265
1521,571588
4758,086604
2404,010449
618,0864663
793,5532448
3623,827707
606,6034285
3106,911704
2721,553916
160,9171742
2749,721687
2211,015301
3061,320078
2482,254139
2472,408743
1808,839917
3925,124632
1228,025996
3169,386017
1788,571757
2593,242932
133,1220548
4225,70975
1372,777366
3867,32021
2020,089576
282,9921116
5363,232796
2455,510136
3838,529896
412,9988473
2221,129407
2719,212183
2878,063036
1775,173788
1289,357308
4593,82757
2563,901841
693,2733548
1449,982852
4070,458868
474,2892403
1422,645746
1517,88038
1085,740624
1652,682275
1982,0526
1794,412264
648,8952862
2787,043713
131,3575733
3418,936109
399,328315
1567,433615
278,6409494
1806,594502
738,0985808
649,9503031
181,6977406
4194,247508
3850,076037
492,8223028
229,7620887
1570,300348
3668,493263
1402,879207
3920,572366
3572,655232
1098,547576
705,857441
2936,016701
2225,684344
3264,357265
3705,154617
3017,103876
2726,009379
